run_id,ticker_limit,experiment_model,experiment_timestamp,hostname,git_commit,source_file,result_kind,timestamp_utc,model,split_date,test_rows,accuracy,f1,area_under_roc
2026-05-10_223848_limit_10_logistic_regression,10,logistic_regression,2026-05-10_223848,ip-172-31-93-86,53b00ee,2026-05-10_223848_limit_10_logistic_regression/data/results/model_metrics.csv,model,2026-05-10T22:39:44,logistic_regression,2024-01-01,5614,0.5203063769148557,0.4887965288125955,0.5062590132071562
2026-05-10_232100_limit_10_logistic_regression,10,logistic_regression,2026-05-10_232100,ip-172-31-93-86,6f580c3,2026-05-10_232100_limit_10_logistic_regression/data/results/model_metrics.csv,model,2026-05-10T23:21:56,logistic_regression,2024-01-01,5614,0.5203063769148557,0.4887965288125955,0.5062541063263715
2026-05-10_232247_limit_10_random_forest,10,random_forest,2026-05-10_232247,ip-172-31-93-86,6f580c3,2026-05-10_232247_limit_10_random_forest/data/results/model_metrics.csv,model,2026-05-10T23:23:46,random_forest,2024-01-01,5614,0.5092625578909868,0.4845357000036581,0.4971120138922081
2026-05-10_232432_limit_50_logistic_regression,50,logistic_regression,2026-05-10_232432,ip-172-31-93-86,6f580c3,2026-05-10_232432_limit_50_logistic_regression/data/results/model_metrics.csv,model,2026-05-10T23:25:40,logistic_regression,2024-01-01,28898,0.5279604124852931,0.4632242014359918,0.5106209540683541
2026-05-10_232627_limit_50_random_forest,50,random_forest,2026-05-10_232627,ip-172-31-93-86,6f580c3,2026-05-10_232627_limit_50_random_forest/data/results/model_metrics.csv,model,2026-05-10T23:27:42,random_forest,2024-01-01,28898,0.525088241400789,0.475026767428946,0.5062736849801276
2026-05-10_232830_limit_100_logistic_regression,100,logistic_regression,2026-05-10_232830,ip-172-31-93-86,6f580c3,2026-05-10_232830_limit_100_logistic_regression/data/results/model_metrics.csv,model,2026-05-10T23:29:49,logistic_regression,2024-01-01,57762,0.5246182611405422,0.4515934789445855,0.5086298258973979
2026-05-10_233041_limit_100_random_forest,100,random_forest,2026-05-10_233041,ip-172-31-93-86,6f580c3,2026-05-10_233041_limit_100_random_forest/data/results/model_metrics.csv,model,2026-05-10T23:32:10,random_forest,2024-01-01,57762,0.5249991343790035,0.4536566641085145,0.5055273437812176
ticker_limit_10,10,,,,,ticker_limit_10/results/model_metrics.csv,model,2026-05-10T22:19:19,logistic_regression,2024-01-01,5614,0.5203063769148557,0.4887965288125955,0.5062647485223597
ticker_limit_10,10,,,,,ticker_limit_10/results/model_metrics.csv,model,2026-05-10T22:20:03,random_forest,2024-01-01,5614,0.5092625578909868,0.4845357000036581,0.4971341904443274
ticker_limit_100,100,,,,,ticker_limit_100/results/model_metrics.csv,model,2026-05-10T22:26:20,logistic_regression,2024-01-01,57762,0.5246355735604723,0.4516380171772587,0.5086108083272257
ticker_limit_100,100,,,,,ticker_limit_100/results/model_metrics.csv,model,2026-05-10T22:27:14,random_forest,2024-01-01,57762,0.5249818219590734,0.4535964677225062,0.505444981213983
ticker_limit_50,50,,,,,ticker_limit_50/results/model_metrics.csv,model,2026-05-10T21:59:04,logistic_regression,2024-01-01,28898,0.5279258080143955,0.4631396226644551,0.5106204924290775
ticker_limit_50,50,,,,,ticker_limit_50/results/model_metrics.csv,model,2026-05-10T21:59:59,random_forest,2024-01-01,28898,0.5271299051837497,0.4793459500053544,0.5075559024967066
